3.360000000000000000e+02 1.780000000000000000e+02
2.930000000000000000e+02 1.920000000000000000e+02
2.500000000000000000e+02 2.060000000000000000e+02
1.780000000000000000e+02 2.350000000000000000e+02
1.210000000000000000e+02 2.780000000000000000e+02
2.060000000000000000e+02 1.210000000000000000e+02
1.200000000000000000e+02 1.060000000000000000e+02
6.400000000000000000e+01 9.200000000000000000e+01
0.000000000000000000e+00 9.200000000000000000e+01
2.070000000000000000e+02 1.350000000000000000e+02
1.350000000000000000e+02 1.920000000000000000e+02
1.210000000000000000e+02 2.490000000000000000e+02
1.070000000000000000e+02 3.070000000000000000e+02
2.210000000000000000e+02 1.630000000000000000e+02
1.350000000000000000e+02 1.930000000000000000e+02
1.210000000000000000e+02 2.500000000000000000e+02
1.070000000000000000e+02 3.070000000000000000e+02
2.070000000000000000e+02 1.780000000000000000e+02
1.640000000000000000e+02 2.210000000000000000e+02
1.360000000000000000e+02 2.630000000000000000e+02
